"0.00","0","180"
"0.10","47","137"
"0.20","43","136"
"0.30","45","134"
"0.40","47","133"
"0.50","47","136"
"0.60","47","137"
"0.70","47","136"
"0.80","47","134"
"0.90","47","134"
"1.00","47","136"
"1.10","47","137"
"1.20","47","135"
"1.30","47","134"
"1.40","47","135"
"1.50","45","136"
"1.60","44","134"
"1.70","46","138"
"1.80","44","134"
"1.90","46","138"
"2.00","45","134"
"2.10","44","134"
"2.20","46","138"
"2.30","45","138"
"2.40","45","137"
"2.50","45","137"
"2.60","45","134"
"2.70","44","137"
"2.80","45","137"
"2.90","45","137"
"3.00","45","137"
"3.10","47","137"
"3.20","44","137"
"3.30","45","137"
"3.40","45","137"
"3.50","45","137"
"3.60","45","137"
"3.70","46","137"
"3.80","45","137"
"3.90","46","137"
"4.00","45","135"
"4.10","45","137"
"4.20","45","137"
"4.30","45","137"
"4.40","44","137"
"4.50","45","138"
"4.60","45","138"
"4.70","45","140"
"4.80","45","140"
"4.90","45","140"
"5.00","45","140"
"5.10","43","140"
"5.20","44","140"
"5.30","43","140"
"5.40","42","140"
"5.50","43","141"
"5.60","40","140"
"5.70","40","141"
"5.80","40","141"
"5.90","40","141"
"6.00","40","141"
"6.10","40","141"
"6.20","40","141"
"6.30","40","141"
"6.40","40","141"
"6.50","40","141"
"6.60","40","141"
"6.70","40","141"
"6.80","40","141"
"6.90","40","143"
"7.00","40","141"
"7.10","40","141"
"7.20","40","143"
"7.30","40","143"
"7.40","40","142"
"7.50","40","142"
"7.60","40","144"
"7.70","40","144"
"7.80","40","144"
"7.90","40","145"
"8.00","40","144"
"8.10","40","144"
"8.20","40","144"
"8.30","40","144"
"8.40","40","144"
"8.50","40","145"
"8.60","40","145"
"8.70","40","145"
"8.80","40","145"
"8.90","40","147"
"9.00","40","147"
"9.10","40","147"
"9.20","40","147"
"9.30","40","147"
"9.40","40","147"
"9.50","40","147"
"9.60","40","147"
"9.70","40","147"
"9.80","40","147"
"9.90","40","148"
"10.00","38","148"
"10.10","38","148"
"10.20","38","150"
"10.30","38","148"
"10.40","38","148"
"10.50","38","150"
"10.60","38","150"
"10.70","38","149"
"10.80","37","149"
"10.90","37","149"
"11.00","37","149"
"11.10","37","149"
"11.20","37","150"
"11.30","37","149"
"11.40","35","151"
"11.50","35","150"
"11.60","35","150"
"11.70","35","153"
"11.80","35","153"
"11.90","35","153"
"12.00","35","153"
"12.10","35","153"
"12.20","35","153"
"12.30","35","153"
"12.40","35","151"
"12.50","35","151"
"12.60","35","151"
"12.70","35","153"
"12.80","35","151"
"12.90","35","153"
"13.00","35","151"
"13.10","35","151"
"13.20","35","151"
"13.30","35","151"
"13.40","35","152"
"13.50","35","152"
"13.60","35","151"
"13.70","35","152"
"13.80","35","152"
"13.90","35","154"
"14.00","35","152"
"14.10","35","152"
"14.20","35","152"
"14.30","35","152"
"14.40","35","152"
"14.50","35","152"
"14.60","35","152"
"14.70","35","152"
"14.80","35","152"
"14.90","35","152"
"15.00","35","152"
"15.10","35","152"
"15.20","35","152"
"15.30","35","152"
"15.40","35","152"
"15.50","35","152"
"15.60","35","152"
"15.70","35","152"
"15.80","35","152"
"15.90","35","152"
"16.00","35","152"
"16.10","35","152"
"16.20","35","152"
"16.30","35","152"
"16.40","35","149"
"16.50","35","152"
"16.60","35","151"
"16.70","35","151"
"16.80","35","151"
"16.90","35","151"
"17.00","35","151"
"17.10","35","151"
"17.20","35","150"
"17.30","35","151"
"17.40","35","150"
"17.50","35","150"
"17.60","35","150"
"17.70","35","150"
"17.80","35","150"
"17.90","35","150"
"18.00","35","150"
"18.10","35","150"
"18.20","35","150"
"18.30","35","150"
"18.40","35","150"
"18.50","35","150"
"18.60","35","150"
"18.70","35","150"
"18.80","35","150"
"18.90","35","150"
"19.00","35","150"
"19.10","35","150"
"19.20","35","150"
"19.30","35","150"
"19.40","35","150"
"19.50","35","150"
"19.60","35","150"
"19.70","35","150"
"19.80","35","150"
"19.90","35","150"
"20.00","35","150"
"20.10","35","150"
"20.20","35","150"
"20.30","35","150"
"20.40","35","150"
"20.50","35","150"
"20.60","35","150"
"20.70","35","150"
"20.80","35","150"
"20.90","35","150"
"21.00","35","150"
"21.10","35","150"
"21.20","35","150"
"21.30","35","150"
"21.40","35","150"
"21.50","35","150"
"21.60","35","150"
"21.70","35","150"
"21.80","35","150"
"21.90","35","150"
"22.00","35","150"
"22.10","35","150"
"22.20","35","150"
"22.30","35","150"
"22.40","35","150"
"22.50","35","150"
"22.60","35","152"
"22.70","35","152"
"22.80","35","152"
"22.90","35","152"
"23.00","35","152"
"23.10","35","152"
"23.20","35","152"
"23.30","35","152"
"23.40","35","152"
"23.50","35","152"
"23.60","35","153"
"23.70","35","152"
"23.80","35","153"
"23.90","35","152"
"24.00","35","153"
"24.10","35","153"
"24.20","35","155"
"24.30","36","153"
"24.40","36","155"
"24.50","37","155"
"24.60","37","155"
"24.70","37","155"
"24.80","36","155"
"24.90","36","155"
"25.00","36","155"
"25.10","36","155"
"25.20","37","155"
"25.30","38","155"
"25.40","38","155"
"25.50","37","155"
"25.60","37","155"
"25.70","37","155"
"25.80","38","155"
"25.90","37","155"
"26.00","37","155"
"26.10","37","155"
"26.20","38","155"
"26.30","38","155"
"26.40","38","155"
"26.50","38","155"
"26.60","38","155"
